study,day,treatment,rep,ID,File R1,File R2
AER COMP,0,C,1,657,4924-657-MSITS2a_R1,4924-657-MSITS2a_R2
AER COMP,0,C,2,658,4924-658-MSITS2a_R1,4924-658-MSITS2a_R2
AER COMP,0,C,3,659,4924-659-MSITS2a_R1,4924-659-MSITS2a_R2
AER COMP,0,C,4,660,4924-660-MSITS2a_R1,4924-660-MSITS2a_R2
AER COMP,56,C-NS,1,662,4924-662-MSITS2a_R1,4924-662-MSITS2a_R2
AER COMP,56,C-NS,2,663,4924-663-MSITS2a_R1,4924-663-MSITS2a_R2
AER COMP,56,C-NS,3,664,4924-664-MSITS2a_R1,4924-664-MSITS2a_R2
AER COMP,56,C-NS,4,665,4924-665-MSITS2a_R1,4924-665-MSITS2a_R2
AER COMP,56,S2-NS,1,667,4924-667-MSITS2a_R1,4924-667-MSITS2a_R2
AER COMP,56,S2-NS,2,668,4924-668-MSITS2a_R1,4924-668-MSITS2a_R2
AER COMP,56,S2-NS,3,669,4924-669-MSITS2a_R1,4924-669-MSITS2a_R2
AER COMP,56,S2-NS,4,670,4924-670-MSITS2a_R1,4924-670-MSITS2a_R2
AER COMP,56,C-3H,1,672,4924-672-MSITS2a_R1,4924-672-MSITS2a_R2
AER COMP,56,C-3H,2,673,4924-673-MSITS2a_R1,4924-673-MSITS2a_R2
AER COMP,56,C-3H,3,674,4924-674-MSITS2a_R1,4924-674-MSITS2a_R2
AER COMP,56,C-3H,4,675,4924-675-MSITS2a_R1,4924-675-MSITS2a_R2
AER COMP,56,S2-3H,1,677,4924-677-MSITS2a_R1,4924-677-MSITS2a_R2
AER COMP,56,S2-3H,2,678,4924-678-MSITS2a_R1,4924-678-MSITS2a_R2
AER COMP,56,S2-3H,3,679,4924-679-MSITS2a_R1,4924-679-MSITS2a_R2
AER COMP,56,S2-3H,4,680,4924-680-MSITS2a_R1,4924-680-MSITS2a_R2
AER COMP,56,C-3H-LATE,1,692,4924-692-MSITS2a_R1,4924-692-MSITS2a_R2
AER COMP,56,C-3H-LATE,2,693,4924-693-MSITS2a_R1,4924-693-MSITS2a_R2
AER COMP,56,C-3H-LATE,3,694,4924-694-MSITS2a_R1,4924-694-MSITS2a_R2
AER COMP,56,C-3H-LATE,4,695,4924-695-MSITS2a_R1,4924-695-MSITS2a_R2
AER COMP,56,S2-3H-LATE,1,697,4924-697-MSITS2a_R1,4924-697-MSITS2a_R2
AER COMP,56,S2-3H-LATE,2,698,4924-698-MSITS2a_R1,4924-698-MSITS2a_R2
AER COMP,56,S2-3H-LATE,3,699,4924-699-MSITS2a_R1,4924-699-MSITS2a_R2
AER COMP,56,S2-3H-LATE,4,700,4924-700-MSITS2a_R1,4924-700-MSITS2a_R2
