Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	73.5486904762	11.7352735941	37.9402380952	21.9686447094	2.47627877093	0.84
C	LB500-NO	232.154240531	30.2748814394	66.5945238095	14.4626078758	7.39710264466	0.405
C	C-LATE	232.154240531	30.2748814394	39.3223611111	8.61336198517	10.6109817782	0.3
C-LATE	C-NO	39.3223611111	8.61336198517	73.5486904762	11.7352735941	-4.07238340207	0.42
C-LATE	LB500-NO	39.3223611111	8.61336198517	66.5945238095	14.4626078758	-2.62632729453	1.0
C-LATE	LB500-EARLY	39.3223611111	8.61336198517	48.1983333333	0.0	0.798213117184	1.0
C-NO	LB500-EARLY	73.5486904762	11.7352735941	48.1983333333	0.0	-1.67327178607	1.0
C	C-NO	232.154240531	30.2748814394	73.5486904762	11.7352735941	8.46057685595	0.33
C	C-EARLY	232.154240531	30.2748814394	37.9402380952	21.9686447094	8.99296392165	0.165
C-NO	LB500-NO	73.5486904762	11.7352735941	66.5945238095	14.4626078758	0.593104599223	1.0
C-EARLY	LB500-NO	37.9402380952	21.9686447094	66.5945238095	14.4626078758	-1.65869704014	1.0
C-LATE	C-EARLY	39.3223611111	8.61336198517	37.9402380952	21.9686447094	0.101450288143	1.0
C	LB500-EARLY	232.154240531	30.2748814394	48.1983333333	0.0	-4.70659590484	1.0
LB500-EARLY	LB500-NO	48.1983333333	0.0	66.5945238095	14.4626078758	-0.899427761953	1.0
LB500-EARLY	C-EARLY	48.1983333333	0.0	37.9402380952	21.9686447094	0.361692153034	1.0
