# Constructed from biom file
#OTU ID	C/0	C/30	C/112	LB/30	LB/112	LH + LB/30	LH + LB/112	LH/30	LH/112
Unassigned;Other;Other;Other;Other	0.000604500401263	0.000477809326618	0.000231765056451	0.000290849429488	0.000239730953376	0.00020195764275	0.000368393299576	0.000222522722993	0.000227818001894
k__Bacteria;Other;Other;Other;Other	0.0	0.0	0.0	5.22037437542e-05	0.0	1.79517904667e-05	0.0	1.7117132538e-05	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae	0.0	0.0	1.32437175115e-05	0.0	0.0	0.0	7.2233980309e-06	0.0	0.0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__	0.0	0.0	3.97311525345e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075	2.60560517786e-05	0.0	3.31092937788e-05	2.23730330375e-05	2.05483674322e-05	0.0	1.44467960618e-05	5.70571084599e-06	7.11931255918e-06
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	9.90129967586e-05	0.0	0.0	0.0	1.36989116215e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae	0.0	0.0	0.0	0.0	4.10967348644e-05	0.0	1.44467960618e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	0.000458586511303	0.0	7.9462305069e-05	2.98307107167e-05	7.53440139181e-05	1.79517904667e-05	1.44467960618e-05	0.0	4.27158753551e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.000119193457604	0.0	2.73978232429e-05	0.0	5.05637862163e-05	0.0	3.55965627959e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae	0.0	0.0	0.0	0.0	2.05483674322e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae	0.000276194148853	1.64761836765e-05	2.6487435023e-05	8.949213215e-05	8.90429255396e-05	4.48794761668e-06	3.61169901545e-05	1.7117132538e-05	0.000177982813979
