# Constructed from biom file
#OTU ID	C/0	C/30	C/112	LB/30	LB/112	LH + LB/30	LH + LB/112	LH/30	LH/112
Unassigned;Other	0.000604500401263	0.000477809326618	0.000231765056451	0.000290849429488	0.000239730953376	0.00020195764275	0.000368393299576	0.000222522722993	0.000227818001894
k__Bacteria;Other	0.0	0.0	0.0	5.22037437542e-05	0.0	1.79517904667e-05	0.0	1.7117132538e-05	0.0
k__Bacteria;p__Acidobacteria	2.60560517786e-05	0.0	8.60841638248e-05	2.23730330375e-05	2.05483674322e-05	0.0	2.16701940927e-05	5.70571084599e-06	7.11931255918e-06
k__Bacteria;p__Actinobacteria	0.0122776115981	0.000477809326618	0.00390689666589	0.00102170184205	0.00250005137092	0.000619336771101	0.00186363669197	0.000513513976139	0.00250599802083
k__Bacteria;p__Armatimonadetes	0.000114646627826	2.1968244902e-05	6.62185875575e-05	2.23730330375e-05	2.73978232429e-05	0.0	7.94573783399e-05	0.0	7.8312438151e-05
k__Bacteria;p__Bacteroidetes	0.176873690683	0.00805685381781	0.0169122272622	0.00580207323439	0.0228155373056	0.00498162185451	0.0214173751616	0.00542042530369	0.0186881954678
k__Bacteria;p__Chloroflexi	5.21121035572e-06	0.0	3.97311525345e-05	0.0	0.0	0.0	2.16701940927e-05	0.0	3.55965627959e-05
k__Bacteria;p__Cyanobacteria	2.08448414229e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__FBP	2.08448414229e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.0238412873774	0.653818904773	0.607515809688	0.869677082557	0.559032034905	0.887707062683	0.555862148672	0.846328089785	0.537451143718
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	2.73978232429e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	1.98655762673e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	5.47956464859e-05	0.0	0.0	0.0	6.40738130326e-05
k__Bacteria;p__Planctomycetes	6.77457346243e-05	0.0	3.31092937788e-05	7.45767767917e-06	2.73978232429e-05	0.0	5.05637862163e-05	0.0	9.96703758285e-05
k__Bacteria;p__Proteobacteria	0.785715030173	0.337020337103	0.370446644373	0.122954731896	0.41452221621	0.106395774149	0.419831116954	0.147372805441	0.439574834654
k__Bacteria;p__Tenericutes	0.0	0.0	2.6487435023e-05	0.0	0.0	8.97589523335e-06	0.0	0.0	1.42386251184e-05
k__Bacteria;p__Verrucomicrobia	0.000349151093833	5.4920612255e-06	5.2974870046e-05	2.23730330375e-05	2.05483674322e-05	0.0	0.0	0.0	2.13579376775e-05
k__Bacteria;p__WPS-2	0.0	0.0	4.63530112903e-05	0.0	7.53440139181e-05	0.0	1.44467960618e-05	0.0	2.13579376775e-05
k__Bacteria;p__[Thermi]	8.33793656915e-05	0.000120825346961	0.000615832864285	0.000126780520546	0.000636999390398	6.73192142501e-05	0.000469520872009	0.000119819927766	0.00121028313506
