Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	155.425	36.2137663741	258.35	188.615806602	-0.928202469643	1.0
C	LB500-NO	1022.13333333	82.9998527442	268.625	67.1756791927	11.211471428	0.525
C	C-LATE	1022.13333333	82.9998527442	139.15	8.52657610064	17.8569351645	0.672
LB500-EARLY	LB500-NO	166.5	36.8675331423	268.625	67.1756791927	-2.30838133991	1.0
C-LATE	C-NO	139.15	8.52657610064	155.425	36.2137663741	-0.75769027474	1.0
C-LATE	LB500-NO	139.15	8.52657610064	268.625	67.1756791927	-3.31179833095	0.357
C-LATE	LB500-EARLY	139.15	8.52657610064	166.5	36.8675331423	-1.25186921472	1.0
C-NO	LB500-EARLY	155.425	36.2137663741	166.5	36.8675331423	-0.371189533632	1.0
C-LATE	C-EARLY	139.15	8.52657610064	258.35	188.615806602	-1.09349170036	1.0
C	LB500-LATE	1022.13333333	82.9998527442	153.75	24.4305648727	16.7440984659	0.693
C-NO	LB500-LATE	155.425	36.2137663741	153.75	24.4305648727	0.0664130342601	1.0
C	C-NO	1022.13333333	82.9998527442	155.425	36.2137663741	15.7631664112	0.567
C	C-EARLY	1022.13333333	82.9998527442	258.35	188.615806602	5.53913727208	0.777
C-NO	LB500-NO	155.425	36.2137663741	268.625	67.1756791927	-2.5691889462	1.0
C-EARLY	LB500-NO	258.35	188.615806602	268.625	67.1756791927	-0.088885840849	1.0
LB500-EARLY	LB500-LATE	166.5	36.8675331423	153.75	24.4305648727	0.499319921376	1.0
LB500-LATE	C-EARLY	153.75	24.4305648727	258.35	188.615806602	-0.952579867068	1.0
C-LATE	LB500-LATE	139.15	8.52657610064	153.75	24.4305648727	-0.977283022861	1.0
C	LB500-EARLY	1022.13333333	82.9998527442	166.5	36.8675331423	15.5046706245	0.546
LB500-LATE	LB500-NO	153.75	24.4305648727	268.625	67.1756791927	-2.78355728872	0.399
LB500-EARLY	C-EARLY	166.5	36.8675331423	258.35	188.615806602	-0.827789527822	1.0
