Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	54.7	8.22405009712	29.475	19.3000485751	2.08258558565	1.0
C	LB500-NO	193.4	21.8826415224	54.5666666667	13.1302026725	8.24108531024	0.03
C	C-LATE	193.4	21.8826415224	30.575	6.25274939527	12.3919343983	0.09
C-LATE	C-NO	30.575	6.25274939527	54.7	8.22405009712	-4.04464938172	0.405
C-LATE	LB500-NO	30.575	6.25274939527	54.5666666667	13.1302026725	-2.70637432844	0.69
C-LATE	LB500-EARLY	30.575	6.25274939527	29.8	0.0	-0.0960077528641	1.0
C-NO	LB500-EARLY	54.7	8.22405009712	29.8	0.0	-2.34525043456	1.0
C	C-NO	193.4	21.8826415224	54.7	8.22405009712	10.27656481	0.03
C	C-EARLY	193.4	21.8826415224	29.475	19.3000485751	9.7309182022	0.075
C-NO	LB500-NO	54.7	8.22405009712	54.5666666667	13.1302026725	0.0139082361083	1.0
C-EARLY	LB500-NO	29.475	19.3000485751	54.5666666667	13.1302026725	-1.63969693654	1.0
C-LATE	C-EARLY	30.575	6.25274939527	29.475	19.3000485751	0.0939121027334	1.0
C	LB500-EARLY	193.4	21.8826415224	29.8	0.0	-5.79107485529	0.33
LB500-EARLY	LB500-NO	29.8	0.0	54.5666666667	13.1302026725	-1.3337705734	1.0
LB500-EARLY	C-EARLY	29.8	0.0	29.475	19.3000485751	0.0130436934666	1.0
