Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	158.675	37.4002924454	269.15	185.839399752	-1.00940493574	1.0
C	LB500-NO	1110.425	82.5783680815	275.3	68.4877361284	13.4827672403	0.42
C	C-LATE	1110.425	82.5783680815	141.225	11.773142104	20.1251097501	0.36
C-LATE	C-NO	141.225	11.773142104	158.675	37.4002924454	-0.770839940619	1.0
C-LATE	LB500-NO	141.225	11.773142104	275.3	68.4877361284	-3.34173399606	0.525
C-LATE	LB500-EARLY	141.225	11.773142104	183.3	2.4	-4.08446722694	0.87
C-NO	LB500-EARLY	158.675	37.4002924454	183.3	2.4	-0.759493352611	1.0
C	C-NO	1110.425	82.5783680815	158.675	37.4002924454	18.1844960598	0.465
C	C-EARLY	1110.425	82.5783680815	269.15	185.839399752	7.16526296229	0.45
C-NO	LB500-NO	158.675	37.4002924454	275.3	68.4877361284	-2.58861074061	1.0
C-EARLY	LB500-NO	269.15	185.839399752	275.3	68.4877361284	-0.0537828747407	1.0
C-LATE	C-EARLY	141.225	11.773142104	269.15	185.839399752	-1.1898946474	0.63
C	LB500-EARLY	1110.425	82.5783680815	183.3	2.4	12.9613331662	1.0
LB500-EARLY	LB500-NO	183.3	2.4	275.3	68.4877361284	-1.55064041091	1.0
LB500-EARLY	C-EARLY	183.3	2.4	269.15	185.839399752	-0.533400927437	1.0
