Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	327.492629184	56.0883360839	476.588781982	238.936951253	-1.05219499907	1.0
C	LB500-NO	1651.78062197	81.4905258494	556.54981051	123.55433345	11.2675753916	0.567
C	C-LATE	1651.78062197	81.4905258494	248.233259499	28.816473771	26.9526386777	0.273
LB500-EARLY	LB500-NO	364.385585634	91.4218714127	556.54981051	123.55433345	-2.16550819953	1.0
C-LATE	C-NO	248.233259499	28.816473771	327.492629184	56.0883360839	-2.1770689463	1.0
C-LATE	LB500-NO	248.233259499	28.816473771	556.54981051	123.55433345	-4.20918139336	0.462
C-LATE	LB500-EARLY	248.233259499	28.816473771	364.385585634	91.4218714127	-2.09879406614	1.0
C-NO	LB500-EARLY	327.492629184	56.0883360839	364.385585634	91.4218714127	-0.595775023333	1.0
C-LATE	C-EARLY	248.233259499	28.816473771	476.588781982	238.936951253	-1.64343738271	1.0
C	LB500-LATE	1651.78062197	81.4905258494	345.225869498	29.9550734332	24.9468375801	0.294
C-NO	LB500-LATE	327.492629184	56.0883360839	345.225869498	29.9550734332	-0.483042887698	1.0
C	C-NO	1651.78062197	81.4905258494	327.492629184	56.0883360839	21.5044891536	0.483
C	C-EARLY	1651.78062197	81.4905258494	476.588781982	238.936951253	6.90493540629	0.42
C-NO	LB500-NO	327.492629184	56.0883360839	556.54981051	123.55433345	-2.92387681608	0.294
C-EARLY	LB500-NO	476.588781982	238.936951253	556.54981051	123.55433345	-0.514872982868	1.0
LB500-EARLY	LB500-LATE	364.385585634	91.4218714127	345.225869498	29.9550734332	0.344949300636	1.0
LB500-LATE	C-EARLY	345.225869498	29.9550734332	476.588781982	238.936951253	-0.944851773946	1.0
C-LATE	LB500-LATE	248.233259499	28.816473771	345.225869498	29.9550734332	-4.04171477218	0.567
C	LB500-EARLY	1651.78062197	81.4905258494	364.385585634	91.4218714127	16.317557054	0.084
LB500-LATE	LB500-NO	345.225869498	29.9550734332	556.54981051	123.55433345	-2.87904606986	0.546
LB500-EARLY	C-EARLY	364.385585634	91.4218714127	476.588781982	238.936951253	-0.759652424735	1.0
