Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	379.252994451	81.0800442572	511.110342664	229.161413991	-0.939532725779	1.0
C	LB500-NO	1943.1168369	3.6142020115	642.875348783	143.50864538	10.4603561018	1.0
C	C-LATE	1943.1168369	3.6142020115	294.429859081	52.452581722	34.3776142985	1.0
LB500-LATE	LB500-NO	410.557148698	37.6794985612	642.875348783	143.50864538	-2.71200000637	0.525
C-LATE	C-NO	294.429859081	52.452581722	379.252994451	81.0800442572	-1.33603764887	1.0
C-LATE	LB500-NO	294.429859081	52.452581722	642.875348783	143.50864538	-3.38858891068	0.357
C-LATE	LB500-EARLY	294.429859081	52.452581722	429.622303692	85.1924716464	-2.04980634334	1.0
C-NO	LB500-LATE	379.252994451	81.0800442572	410.557148698	37.6794985612	-0.606440483641	1.0
C-LATE	C-EARLY	294.429859081	52.452581722	511.110342664	229.161413991	-1.35770673164	1.0
C-LATE	LB500-LATE	294.429859081	52.452581722	410.557148698	37.6794985612	-2.8803264854	1.0
C-NO	LB500-EARLY	379.252994451	81.0800442572	429.622303692	85.1924716464	-0.741802612349	1.0
C	C-NO	1943.1168369	3.6142020115	379.252994451	81.0800442572	22.2606940936	1.0
C	C-EARLY	1943.1168369	3.6142020115	511.110342664	229.161413991	7.21515819893	1.0
C-NO	LB500-NO	379.252994451	81.0800442572	642.875348783	143.50864538	-2.77018257738	0.882
C-EARLY	LB500-NO	511.110342664	229.161413991	642.875348783	143.50864538	-0.844059879709	1.0
LB500-LATE	LB500-EARLY	410.557148698	37.6794985612	429.622303692	85.1924716464	-0.354489691524	1.0
LB500-LATE	C-EARLY	410.557148698	37.6794985612	511.110342664	229.161413991	-0.74993283764	1.0
C	LB500-LATE	1943.1168369	3.6142020115	410.557148698	37.6794985612	46.858135443	1.0
C	LB500-EARLY	1943.1168369	3.6142020115	429.622303692	85.1924716464	20.5047125031	0.315
LB500-EARLY	LB500-NO	429.622303692	85.1924716464	642.875348783	143.50864538	-2.21321633359	0.966
LB500-EARLY	C-EARLY	429.622303692	85.1924716464	511.110342664	229.161413991	-0.577301940648	1.0
