Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	195.860120247	32.1111507591	302.69800927	205.986923757	-0.887630828069	1.0
C	LB500-NO	1194.38292377	95.5412485465	328.969009622	83.3670481026	10.7855261219	0.714
C	C-LATE	1194.38292377	95.5412485465	151.463481066	18.1215819004	18.0240289163	0.714
LB500-EARLY	LB500-NO	195.702265959	48.3754731515	328.969009622	83.3670481026	-2.39479689761	1.0
C-LATE	C-NO	151.463481066	18.1215819004	195.860120247	32.1111507591	-2.08553884909	1.0
C-LATE	LB500-NO	151.463481066	18.1215819004	328.969009622	83.3670481026	-3.60373516692	0.672
C-LATE	LB500-EARLY	151.463481066	18.1215819004	195.702265959	48.3754731515	-1.48328244079	1.0
C-NO	LB500-EARLY	195.860120247	32.1111507591	195.702265959	48.3754731515	0.00470887878492	1.0
C-LATE	C-EARLY	151.463481066	18.1215819004	302.69800927	205.986923757	-1.26677006043	1.0
C	LB500-LATE	1194.38292377	95.5412485465	189.828614994	34.6753796593	16.3912889762	0.525
C-NO	LB500-LATE	195.860120247	32.1111507591	189.828614994	34.6753796593	0.221051051791	1.0
C	C-NO	1194.38292377	95.5412485465	195.860120247	32.1111507591	16.4690295703	0.567
C	C-EARLY	1194.38292377	95.5412485465	302.69800927	205.986923757	5.88013334912	0.777
C-NO	LB500-NO	195.860120247	32.1111507591	328.969009622	83.3670481026	-2.58067813908	0.63
C-EARLY	LB500-NO	302.69800927	205.986923757	328.969009622	83.3670481026	-0.204766409744	1.0
LB500-EARLY	LB500-LATE	195.702265959	48.3754731515	189.828614994	34.6753796593	0.170926595825	1.0
LB500-LATE	C-EARLY	189.828614994	34.6753796593	302.69800927	205.986923757	-0.935899706346	1.0
C-LATE	LB500-LATE	151.463481066	18.1215819004	189.828614994	34.6753796593	-1.69840731655	1.0
C	LB500-EARLY	1194.38292377	95.5412485465	195.702265959	48.3754731515	15.2529312761	0.63
LB500-LATE	LB500-NO	189.828614994	34.6753796593	328.969009622	83.3670481026	-2.66913091214	0.462
LB500-EARLY	C-EARLY	195.702265959	48.3754731515	302.69800927	205.986923757	-0.875849939323	1.0
