Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	162.15	34.5375520267	269.625	188.649044193	-0.970631804986	1.0
C	LB500-NO	1015.53333333	93.5371702706	285.525	67.7277777208	10.1206259607	0.777
C	C-LATE	1015.53333333	93.5371702706	143.3	10.452033295	15.632521865	0.714
LB500-EARLY	LB500-NO	178.35	38.230910269	285.525	67.7277777208	-2.38684784552	1.0
C-LATE	C-NO	143.3	10.452033295	162.15	34.5375520267	-0.904798552323	1.0
C-LATE	LB500-NO	143.3	10.452033295	285.525	67.7277777208	-3.59466810585	0.609
C-LATE	LB500-EARLY	143.3	10.452033295	178.35	38.230910269	-1.53172794967	1.0
C-NO	LB500-EARLY	162.15	34.5375520267	178.35	38.230910269	-0.544613968721	1.0
C-LATE	C-EARLY	143.3	10.452033295	269.625	188.649044193	-1.1580565698	1.0
C	LB500-LATE	1015.53333333	93.5371702706	167.5	26.0782476405	14.5875034634	0.588
C-NO	LB500-LATE	162.15	34.5375520267	167.5	26.0782476405	-0.21411894042	1.0
C	C-NO	1015.53333333	93.5371702706	162.15	34.5375520267	14.1859044049	0.588
C	C-EARLY	1015.53333333	93.5371702706	269.625	188.649044193	5.31840500301	1.0
C-NO	LB500-NO	162.15	34.5375520267	285.525	67.7277777208	-2.81078639046	1.0
C-EARLY	LB500-NO	269.625	188.649044193	285.525	67.7277777208	-0.137396931012	1.0
LB500-EARLY	LB500-LATE	178.35	38.230910269	167.5	26.0782476405	0.406081615817	1.0
LB500-LATE	C-EARLY	167.5	26.0782476405	269.625	188.649044193	-0.928811703221	1.0
C-LATE	LB500-LATE	143.3	10.452033295	167.5	26.0782476405	-1.49193341064	1.0
C	LB500-EARLY	1015.53333333	93.5371702706	178.35	38.230910269	13.6815449642	0.525
LB500-LATE	LB500-NO	167.5	26.0782476405	285.525	67.7277777208	-2.81674639111	0.105
LB500-EARLY	C-EARLY	178.35	38.230910269	269.625	188.649044193	-0.821330566063	1.0
