Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	56.45	5.89639720507	29.6	20.0152441904	2.2288042477	1.0
C	LB500-NO	191.2	21.1552593934	57.9	11.6049558379	9.56857393189	0.756
C	C-LATE	191.2	21.1552593934	28.8	3.63936807702	13.1037358401	0.756
LB500-EARLY	LB500-NO	31.1333333333	23.0353834109	57.9	11.6049558379	-1.69774043879	1.0
C-LATE	C-NO	28.8	3.63936807702	56.45	5.89639720507	-6.91160011065	0.693
C-LATE	LB500-NO	28.8	3.63936807702	57.9	11.6049558379	-4.14419485552	0.168
C-LATE	LB500-EARLY	28.8	3.63936807702	31.1333333333	23.0353834109	-0.168437210581	1.0
C-NO	LB500-EARLY	56.45	5.89639720507	31.1333333333	23.0353834109	1.78151724556	1.0
C-LATE	C-EARLY	28.8	3.63936807702	29.6	20.0152441904	-0.0681124514104	1.0
C	LB500-LATE	191.2	21.1552593934	43.925	19.0828948276	8.95347002894	0.567
C-NO	LB500-LATE	56.45	5.89639720507	43.925	19.0828948276	1.08615817493	1.0
C	C-NO	191.2	21.1552593934	56.45	5.89639720507	10.627353881	0.651
C	C-EARLY	191.2	21.1552593934	29.6	20.0152441904	9.61090690375	0.672
C-NO	LB500-NO	56.45	5.89639720507	57.9	11.6049558379	-0.192937858743	1.0
C-EARLY	LB500-NO	29.6	20.0152441904	57.9	11.6049558379	-2.1186271143	1.0
LB500-EARLY	LB500-LATE	31.1333333333	23.0353834109	43.925	19.0828948276	-0.678280966245	1.0
LB500-LATE	C-EARLY	43.925	19.0828948276	29.6	20.0152441904	0.897203013574	1.0
C-LATE	LB500-LATE	28.8	3.63936807702	43.925	19.0828948276	-1.34850941808	1.0
C	LB500-EARLY	191.2	21.1552593934	31.1333333333	23.0353834109	8.05816997886	0.588
LB500-LATE	LB500-NO	43.925	19.0828948276	57.9	11.6049558379	-1.08376555918	1.0
LB500-EARLY	C-EARLY	31.1333333333	23.0353834109	29.6	20.0152441904	0.0794279801546	1.0
