# Constructed from biom file
#OTU ID	C-AS/90	C-AS/90+50h	C-AS/90+140h	C/30	C/30+120h	C/90	C/90+50h	C/90+140h	LB+LP/30	LB+LP/30+120h	LB+LP/90	LB+LP/90+50h	LB+LP/90+140h	LB-AS/90	LB-AS/90+50h	LB-AS/90+140	LB-AS/90+140h	LB/30	LB/30+120h	LB/90	LB/90+50h	LB/90+140h
Unassigned;Other;Other;Other	0.000996545017933	0.000374953130859	0.000161353525575	0.00340382245349	0.00019727756954	0.00315138685078	0.00256725401457	0.000171276869059	0.000311862468651	0.000200846232125	0.000628418291432	0.000488745640917	0.00116844750805	0.000633747029311	0.000505912112477	0.000588622277622	0.00094478889873	0.000356278669299	0.000219002501239	0.00050482238223	0.000563919331802	0.000890743528797
k__Bacteria;Other;Other;Other	2.19503307915e-05	8.33229179686e-06	0.0	0.000156497584069	0.0	3.36789434434e-05	3.44597854304e-05	0.0	2.59885390543e-05	0.0	1.21629346729e-05	1.76124555285e-05	7.3487264657e-06	4.40102103688e-06	1.76480969469e-05	0.0	4.4286979628e-05	1.48449445541e-05	3.45793423009e-05	1.89782850463e-05	0.0	2.42049871956e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	1.66645835937e-05	0.00463315123435	0.000176059782077	0.00177549812586	3.36789434434e-05	7.46628684325e-05	0.000642288258971	5.19770781086e-05	0.0	4.05431155763e-05	4.40311388214e-06	4.40923587942e-05	1.32030631106e-05	1.17653979646e-05	0.0	0.0	1.48449445541e-05	0.0	0.000390952671953	8.32012128888e-05	4.84099743911e-06
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21629346729e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4.3900661583e-06	0.0	6.91515109605e-05	0.0	0.0	1.44338329043e-05	1.14865951435e-05	0.0	0.0	0.0	0.0	0.0	7.3487264657e-06	4.40102103688e-06	0.0	0.0	1.47623265427e-05	0.0	0.0	1.5182628037e-05	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	1.92451105391e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	4.82907277413e-05	9.16552097654e-05	0.0	0.0	0.0	1.44338329043e-05	4.59463805739e-05	0.0	0.0	0.0	1.62172462305e-05	0.0	0.0	3.96091893319e-05	0.0	0.0	0.0	0.0	0.0	1.89782850463e-05	0.0	4.84099743911e-06
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	2.19503307915e-05	0.0	0.0	0.0	0.0	2.88676658087e-05	4.59463805739e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.32030631106e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45	0.0	0.0	0.0	0.0	0.0	1.92451105391e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5182628037e-05	0.0	0.0
