Module	Section	Sample Name	Source
FastQC	all_sections	1152.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1152.extendedFrags_fastqc.zip
FastQC	all_sections	1147.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1147.extendedFrags_fastqc.zip
FastQC	all_sections	758.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/758.extendedFrags_fastqc.zip
FastQC	all_sections	454.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/454.extendedFrags_fastqc.zip
FastQC	all_sections	430.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/430.extendedFrags_fastqc.zip
FastQC	all_sections	1141.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1141.extendedFrags_fastqc.zip
FastQC	all_sections	1021.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1021.extendedFrags_fastqc.zip
FastQC	all_sections	1035.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1035.extendedFrags_fastqc.zip
FastQC	all_sections	452.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/452.extendedFrags_fastqc.zip
FastQC	all_sections	1039.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1039.extendedFrags_fastqc.zip
FastQC	all_sections	1020.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1020.extendedFrags_fastqc.zip
FastQC	all_sections	1143.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1143.extendedFrags_fastqc.zip
FastQC	all_sections	1038.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1038.extendedFrags_fastqc.zip
FastQC	all_sections	1145.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1145.extendedFrags_fastqc.zip
FastQC	all_sections	843.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/843.extendedFrags_fastqc.zip
FastQC	all_sections	1149.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1149.extendedFrags_fastqc.zip
FastQC	all_sections	431.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/431.extendedFrags_fastqc.zip
FastQC	all_sections	1153.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1153.extendedFrags_fastqc.zip
FastQC	all_sections	450.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/450.extendedFrags_fastqc.zip
FastQC	all_sections	1162.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1162.extendedFrags_fastqc.zip
FastQC	all_sections	761.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/761.extendedFrags_fastqc.zip
FastQC	all_sections	447.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/447.extendedFrags_fastqc.zip
FastQC	all_sections	1022.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1022.extendedFrags_fastqc.zip
FastQC	all_sections	1034.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1034.extendedFrags_fastqc.zip
FastQC	all_sections	1138.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1138.extendedFrags_fastqc.zip
FastQC	all_sections	436.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/436.extendedFrags_fastqc.zip
FastQC	all_sections	1031.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1031.extendedFrags_fastqc.zip
FastQC	all_sections	1140.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1140.extendedFrags_fastqc.zip
FastQC	all_sections	1023.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1023.extendedFrags_fastqc.zip
FastQC	all_sections	1155.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1155.extendedFrags_fastqc.zip
FastQC	all_sections	836.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/836.extendedFrags_fastqc.zip
FastQC	all_sections	764.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/764.extendedFrags_fastqc.zip
FastQC	all_sections	451.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/451.extendedFrags_fastqc.zip
FastQC	all_sections	437.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/437.extendedFrags_fastqc.zip
FastQC	all_sections	460.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/460.extendedFrags_fastqc.zip
FastQC	all_sections	765.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/765.extendedFrags_fastqc.zip
FastQC	all_sections	841.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/841.extendedFrags_fastqc.zip
FastQC	all_sections	1142.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1142.extendedFrags_fastqc.zip
FastQC	all_sections	442.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/442.extendedFrags_fastqc.zip
FastQC	all_sections	1158.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1158.extendedFrags_fastqc.zip
FastQC	all_sections	1144.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1144.extendedFrags_fastqc.zip
FastQC	all_sections	461.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/461.extendedFrags_fastqc.zip
FastQC	all_sections	831.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/831.extendedFrags_fastqc.zip
FastQC	all_sections	757.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/757.extendedFrags_fastqc.zip
FastQC	all_sections	1148.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1148.extendedFrags_fastqc.zip
FastQC	all_sections	1025.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1025.extendedFrags_fastqc.zip
FastQC	all_sections	1150.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1150.extendedFrags_fastqc.zip
FastQC	all_sections	1016.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1016.extendedFrags_fastqc.zip
FastQC	all_sections	424.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/424.extendedFrags_fastqc.zip
FastQC	all_sections	1026.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1026.extendedFrags_fastqc.zip
FastQC	all_sections	1029.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1029.extendedFrags_fastqc.zip
FastQC	all_sections	1160.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1160.extendedFrags_fastqc.zip
FastQC	all_sections	838.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/838.extendedFrags_fastqc.zip
FastQC	all_sections	1018.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1018.extendedFrags_fastqc.zip
FastQC	all_sections	834.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/834.extendedFrags_fastqc.zip
FastQC	all_sections	434.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/434.extendedFrags_fastqc.zip
FastQC	all_sections	766.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/766.extendedFrags_fastqc.zip
FastQC	all_sections	832.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/832.extendedFrags_fastqc.zip
FastQC	all_sections	1036.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/1036.extendedFrags_fastqc.zip
FastQC	all_sections	760.extendedFrags	/home/mark/gitstage/uderica/nordqiime/V-HMC/Bacteria/raw_data_bacteria/extendedFrags/760.extendedFrags_fastqc.zip
