"Observed" "Chao1" "se.chao1" "Simpson" "InvSimpson"
"X1028" 242 341.340909090909 27.2574129125395 0.259026415919547 1.3495757763632
"X1019" 531 820.246575342466 55.2454336917706 0.912461721905086 11.4235740268474
"X761" 640 1027.01149425287 66.347227002181 0.924563943185841 13.2562602319414
"X1143" 357 626.630434782609 60.5631154171522 0.443229755660442 1.79607299450099
"X1033" 212 341.636363636364 36.7978272305399 0.752680969907115 4.04336051141892
"X764" 353 590.058823529412 52.6074633541282 0.46131615381606 1.85637643876653
"X431" 427 672.564516129032 50.8793553686741 0.923685988154854 13.1037535024259
"X1150" 226 385.677419354839 44.5613066023521 0.375764959067001 1.60196069497376
"X448" 564 814.450549450549 45.9357991877348 0.895356372374792 9.55624363082672
"X459" 310 531.809523809524 53.0311904536269 0.315152597576415 1.46017929901045
"X1017" 539 814.139240506329 51.7400973952809 0.89936046018935 9.93645243093782
"X833" 185 280 29.4463886674675 0.723547812550079 3.61726202720371
"X1147" 330 565 55.6449256075629 0.46973336546326 1.88584371497112
"X759" 484 729.649350649351 47.5745081154098 0.893277792591547 9.37012102994411
"X1144" 360 542.5 40.8119233183285 0.4545244844474 1.83326285321338
"X449" 533 803.182926829268 50.3983255581827 0.878159265747546 8.20743576551335
"X832" 166 221.454545454545 18.7300797026479 0.86482655253734 7.39790261157787
"X458" 345 558.679245283019 47.7120594768297 0.383563618671429 1.62222741922655
"X434" 143 213 25.2765248454091 0.175442401671773 1.212771554137
"X762" 316 546.560975609756 55.2039421219672 0.318874915696431 1.46815911356792
"X758" 492 673 35.622757191068 0.834819002939889 6.0539651521542
"X451" 647 1023.53658536585 66.1151771982824 0.914569827725749 11.7054662700405
"X1029" 318 582.625 62.4754455980162 0.356267256864384 1.55343970096815
"X447" 551 801.036585365854 47.3405497033735 0.913404204120661 11.5479047203791
"X452" 271 434.875 41.9606338390043 0.320745162219596 1.4722015131577
"X765" 298 459.458333333333 39.1680816106254 0.435688741856684 1.77207168130967
"X760" 566 930.5125 64.8836588928986 0.866684242791208 7.5009887873483
"X432" 401 584.615384615385 39.6233214755977 0.904398901360655 10.460130837748
"X453" 325 557 53.8196613133086 0.354228103728874 1.54853440630397
"X757" 461 655.096385542169 38.5276097191342 0.794236404876969 4.85994618922786
"X1021" 326 501.56 41.3956944369639 0.354813604936172 1.54993968820603
"X1027" 311 465.411764705882 37.0904761212857 0.336077177282509 1.50619916319026
"X1142" 245 437.6 52.6732493134402 0.788326257554205 4.72425152239219
"X450" 596 862.387755102041 47.2022125273779 0.915932555711307 11.8952111422103
"X429" 399 651.169491525424 52.8249518630297 0.927684549661801 13.8283035689232
"X1153" 204 296.941176470588 27.8723073446906 0.737247621318564 3.8058646890973
"X1145" 292 514.775 54.0831403109967 0.422077863310153 1.7303369026971
"X460" 343 547.185185185185 45.7024940401987 0.361889743956169 1.56712729583727
"X1151" 314 547.926829268293 55.8758406192829 0.51216225526137 2.0498618870415
"X1040" 362 648.285714285714 62.3524229900751 0.528353794574571 2.12023332001153
"X1020" 525 778.685393258427 46.7217292233567 0.930766379893486 14.4438496565907
"X831" 185 262.454545454545 24.3247761688555 0.841229893570017 6.29841487472327
"X1032" 293 504.727272727273 50.257546928415 0.698671435533282 3.3186365911568
"X456" 311 449.944444444444 33.5079585504364 0.339172462517791 1.51325412952683
"X1016" 398 671.9 59.6904723109947 0.889854451425782 9.07889617823445
"X1018" 531 844.583333333333 59.2934191000059 0.912941185020675 11.4864876145797
"X424" 55 82.6 15.1164992680536 0.151821916861512 1.17899768914062
"X1037" 144 210.5 23.6412394910127 0.210822413087773 1.26714191657754
"X442" 156 226.037037037037 23.8032109165123 0.14857528334125 1.17450196175219
"X457" 363 543.241935483871 39.5966396700861 0.446663421217304 1.8072183158394
"X1031" 387 644.6 56.7194963049605 0.741966940588725 3.87547239986065
"X454" 333 627.878048780488 67.8807704113764 0.351729121137336 1.54256504897214
"X1022" 319 448.491228070175 31.1897920703437 0.353192978486277 1.54605619100995
"X455" 298 501.2 50.1005046768463 0.326914698087644 1.48569579094778
"X461" 341 577.116279069767 55.4335216316825 0.422700621981959 1.73220349454239
"X1141" 243 372.487179487179 34.9144875002153 0.820450351993301 5.56949017222628
"X834" 121 148.038461538462 11.5370603356975 0.862384000577136 7.2665969378111
"X1024" 257 472.161290322581 57.1879388161546 0.316831252053059 1.46376719222769
"X1157" 145 196.107142857143 18.3892427874335 0.830547760913828 5.90136787446913
"X1138" 297 424.654545454545 31.1597703529654 0.824752320482869 5.70620964999565
"X1156" 192 283.4375 28.0098509243221 0.732911243296672 3.74407373916814
"X1035" 170 249.444444444444 26.3228276675956 0.758734871469602 4.14481780309998
"X1039" 244 362.317073170732 31.9809321264376 0.430267895763055 1.75521090098885
"X1038" 322 488.6875 40.1932575857785 0.531282172548538 2.13347976422671
"X1025" 237 410.117647058824 46.2445514584057 0.304317478349715 1.43743729198172
"X1140" 112 184.058823529412 27.9870152312174 0.79151563503194 4.79652275197327
"X1154" 87 152 28.6498820902731 0.655012842940238 2.89865862985378
"X1034" 203 330.96875 36.7625119683685 0.669952898457333 3.02987057097583
"X1146" 301 484.139534883721 44.9247619876631 0.477231427232719 1.91289234298552
"X1152" 341 548.549019607843 47.1583008768272 0.602298175828619 2.51444660100194
"X1023" 266 381.5 31.1454021546326 0.379793639524409 1.61236656656209
"X437" 101 200 43.2604251886178 0.116301257856247 1.13160735928413
"X844" 121 205.176470588235 31.7973203683472 0.110934925599671 1.12477705940085
"X839" 117 223.4 40.2387447721911 0.100299915511846 1.11148150060351
"X843" 130 237.647058823529 39.0063064658455 0.129029874491296 1.14814500602525
"X1026" 226 383.8125 43.6791896733804 0.304532859965591 1.43788245689153
"X1036" 199 352.12 46.1655677061452 0.333012668238871 1.49927885040871
"X1148" 312 464.52 36.945013748056 0.528833014319849 2.12238979044012
"X436" 108 158.647058823529 21.0437948627641 0.129645519505048 1.14895714609445
"X842" 118 184.3 24.8952246865697 0.113357258610953 1.12784998209466
"X1139" 122 185.588235294118 25.2775117913216 0.759919386575177 4.16526759797343
"X430" 368 632.272727272727 56.1627160010464 0.914849041118979 11.7438489611993
"X1149" 240 458.115384615385 61.4213276461308 0.412684437543556 1.70266218694684
"X766" 220 347.571428571429 35.6615899911789 0.314926512482872 1.45969741673151
"X841" 73 131.666666666667 28.7817587591466 0.105149741029746 1.11750540380996
"X1030" 343 529.428571428571 41.9688762261738 0.419309254657728 1.72208702828659
"X440" 120 173.714285714286 20.7379570756223 0.14634086498719 1.17142775024014
"X441" 120 226 42.0446063126703 0.13426971835272 1.15509416870256
"X1155" 98 159.5 26.099796463571 0.761701220195193 4.1964125910301
"X763" 248 345 25.9439028514536 0.216036738027151 1.27556997694445
"X435" 125 293 64.1495367410239 0.149687197104982 1.17603780231857
"X439" 90 176.1 38.4185182203677 0.134067425454453 1.15482432396635
"X837" 109 158.4 21.4017465787672 0.112595804168427 1.12688220846524
"X836" 118 213.4 36.7195094943687 0.115840951164911 1.1310182272268
"X426" 54 85.2307692307692 15.4829634201167 0.113896072590764 1.12853579480656
"X838" 121 203.875 31.997243659021 0.121088339865633 1.1377707741949
"X427" 75 110.428571428571 16.7498761105082 0.173562036088462 1.21001217715966
"X425" 28 49 14.7325129823635 0.106566965695415 1.11927806741371
