Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	72.8	17.0367250374	133.5	99.1145044885	-1.04541623274	1.0
C	LB500-NO	520.433333333	48.5322115255	131.4	35.2962462593	10.3760063313	0.252
C	C-LATE	520.433333333	48.5322115255	71.325	7.31313031471	15.410275872	0.21
LB500-EARLY	LB500-NO	86.625	15.9033604939	131.4	35.2962462593	-2.00323915851	1.0
C-LATE	C-NO	71.325	7.31313031471	72.8	17.0367250374	-0.137797946019	1.0
C-LATE	LB500-NO	71.325	7.31313031471	131.4	35.2962462593	-2.8866793044	0.147
C-LATE	LB500-EARLY	71.325	7.31313031471	86.625	15.9033604939	-1.51393965105	1.0
C-NO	LB500-EARLY	72.8	17.0367250374	86.625	15.9033604939	-1.02744629169	1.0
C-LATE	C-EARLY	71.325	7.31313031471	133.5	99.1145044885	-1.08357811665	1.0
C	LB500-LATE	520.433333333	48.5322115255	74.525	15.1481640802	14.6103994048	0.252
C-NO	LB500-LATE	72.8	17.0367250374	74.525	15.1481640802	-0.131058839353	1.0
C	C-NO	520.433333333	48.5322115255	72.8	17.0367250374	14.4485721965	0.147
C	C-EARLY	520.433333333	48.5322115255	133.5	99.1145044885	5.26122623291	0.651
C-NO	LB500-NO	72.8	17.0367250374	131.4	35.2962462593	-2.58971536139	0.693
C-EARLY	LB500-NO	133.5	99.1145044885	131.4	35.2962462593	0.0345713010194	1.0
LB500-EARLY	LB500-LATE	86.625	15.9033604939	74.525	15.1481640802	0.954222522519	1.0
LB500-LATE	C-EARLY	74.525	15.1481640802	133.5	99.1145044885	-1.018773067	1.0
C-LATE	LB500-LATE	71.325	7.31313031471	74.525	15.1481640802	-0.329500983974	1.0
C	LB500-EARLY	520.433333333	48.5322115255	86.625	15.9033604939	14.1311694563	0.126
LB500-LATE	LB500-NO	74.525	15.1481640802	131.4	35.2962462593	-2.56473832616	1.0
LB500-EARLY	C-EARLY	86.625	15.9033604939	133.5	99.1145044885	-0.808806919551	1.0
