# Constructed from biom file
#OTU ID	C/0	C/10	C/30	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
Unassigned;Other;Other;Other	0.000827084999932	0.00056819776088	0.000202242939438	0.000229642217425	0.000126247682171	0.000240442414042	8.82122032762e-05	0.000182861919658	7.77207825373e-05	9.47657706037e-05	0.000113965958368	6.18013019474e-05	0.000249378631576
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	5.42350819628e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11029689339e-05	0.0	0.0	0.0	0.0
k__Bacteria;Other;Other;Other	0.0	2.80591486854e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	0.0	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	1.57942951006e-05	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.00359307418003	0.0	2.60958631533e-05	0.000376613236577	3.94524006786e-05	0.0	0.000123497084587	4.57154799146e-05	1.11029689339e-05	9.47657706037e-05	1.70948937552e-05	6.86681132749e-06	3.32504842102e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0010169077868	0.0	0.0	0.000119413953061	7.89048013572e-06	0.0	0.0	1.30615656899e-05	4.44118757356e-05	3.94857377515e-05	5.69829791841e-06	1.3733622655e-05	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.000284734180305	0.0	0.0	0.0	0.0	0.0	0.0	6.53078284494e-06	2.22059378678e-05	0.0	1.70948937552e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.0	0.0	0.0	3.6742754788e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	0.0	0.0	0.0	0.000156156707849	0.0	0.0	2.64636609829e-05	0.0	0.0	1.57942951006e-05	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.00108470163926	0.0	0.0	0.000192899462637	0.0	0.0	6.17485422933e-05	6.53078284494e-05	9.9926720405e-05	1.57942951006e-05	1.13965958368e-05	4.80676792924e-05	4.15631052627e-05
